2026-05-06 00:58:50,949 | INFO     | __main__ | Logging inicializado. Archivo: c:\Users\rogel\Documents\UANL\4th Semester\POO\PIA POO\libreria_acme.log
2026-05-06 00:58:50,950 | INFO     | __main__ | === Iniciando Librería ACME ===
2026-05-06 00:58:50,952 | INFO     | conexion | Conexion a base de datos establecida en c:\Users\rogel\Documents\UANL\4th Semester\POO\PIA POO\libreria_acme.db
2026-05-06 00:59:38,770 | INFO     | conexion | Autenticación exitosa: 'admin'
2026-05-06 01:01:30,399 | INFO     | conexion | Libro Engineering Mechanics Dynamics agregado con ID 11
2026-05-06 01:01:30,399 | INFO     | controlador | Controlador: libro agregado → Libro(id=None, titulo='Engineering Mechanics Dynamics', autor='J.L. Meriam', isbn='`9780470614815`', cantidad=1)
2026-05-06 01:01:51,624 | INFO     | conexion | Libro ID=11 actualizado.
2026-05-06 01:01:51,624 | INFO     | controlador | Controlador: libro editado → Libro(id=11, titulo='Engineering Mechanics Dynamics', autor='Meriam', isbn='`9780470614815`', cantidad=1)
2026-05-06 01:02:03,212 | INFO     | conexion | Libro ID=11 eliminado.
2026-05-06 01:02:03,213 | INFO     | controlador | Controlador: libro ID=11 eliminado.
2026-05-06 01:02:21,500 | INFO     | controlador | Controlador: sesión cerrada.
2026-05-06 01:02:23,993 | INFO     | conexion | Conexión cerrada.
2026-05-06 01:02:23,994 | INFO     | __main__ | === Librería ACME finalizada ===
